city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,target
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,1,1.0
city_40,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,0.0
city_21,Missing,No relevent experience,Full time course,Graduate,STEM,5,Missing,Missing,never,0.0
city_115,Missing,No relevent experience,no_enrollment,Graduate,Business Degree,<1,Missing,Pvt Ltd,never,1.0
city_162,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,0.0
city_176,Missing,Has relevent experience,Part time course,Graduate,STEM,11,Missing,Missing,1,1.0
city_160,Male,Has relevent experience,no_enrollment,High School,STEM,5,50-99,Funded Startup,1,0.0
city_46,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,1.0
city_103,Missing,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,0.0
city_21,Missing,No relevent experience,Full time course,High School,STEM,2,Missing,Missing,never,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,0.0
city_61,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,0.0
city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,2,Missing,Missing,never,0.0
city_21,Missing,No relevent experience,Full time course,High School,STEM,5,Missing,Missing,never,0.0
city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,>4,0.0
city_103,Missing,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,0.0
city_21,Missing,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,0.0
city_21,Missing,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,1.0
city_13,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,Missing,Missing,1,1.0
city_159,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,0.0
city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,0.0
city_102,Missing,Has relevent experience,no_enrollment,Masters,STEM,10,Missing,Missing,1,0.0
city_40,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,0.0
city_21,Missing,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,0.0
city_67,Missing,No relevent experience,no_enrollment,High School,STEM,4,Missing,Missing,never,0.0
city_21,Missing,Has relevent experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,Missing,Missing,2,0.0
city_100,Male,Has relevent experience,no_enrollment,High School,STEM,11,<10,Pvt Ltd,1,1.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,0.0
city_103,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,0.0
city_103,Female,No relevent experience,Full time course,Graduate,STEM,5,Missing,Missing,1,0.0
city_160,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,0.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Early Stage Startup,2,0.0
city_114,Male,No relevent experience,Part time course,High School,STEM,1,10000+,Other,1,0.0
